지역,발전원,총발전량(MWh)
BSN,태양광,1399998.6900574933
BSN,풍력,88850.91367573896
BSN,LNG,994137.8998284499
BSN,원자력,39967200.0
CBD,태양광,4279995.995318666
CBD,풍력,88850.91367573896
CBD,수력,4550112.0
CND,태양광,6359994.049118115
CND,풍력,29616.971225246423
CND,LNG,1013850.4066713178
CND,석탄,147823272.59147
CND,수력,281088.0
DGU,태양광,2039998.0912266264
DJN,태양광,899999.1578940764
GBD,태양광,7179993.281866399
GBD,풍력,1569699.4749380618
GBD,LNG,476045.65847145836
GBD,원자력,100137600.0
GBD,석탄,0.0
GBD,수력,1572336.0
GGD,태양광,4079996.1824532677
GGD,풍력,177701.82735148483
GGD,LNG,2238162.2471055854
GGD,수력,2415600.0
GND,태양광,3739996.500582159
GND,풍력,325786.68347771425
GND,LNG,199940.8801604728
GND,석탄,57473028.787367605
GND,수력,1273680.0
GWD,태양광,4399995.883037877
GWD,풍력,1747401.302289535
GWD,LNG,1045687.228503823
GWD,석탄,66987642.615174666
GWD,수력,4611600.0
GWJ,태양광,1399998.6900574933
ICN,태양광,2399997.7543842285
ICN,LNG,828708.466168178
ICN,석탄,25355746.118742507
ICN,수력,105408.0
JBD,태양광,9439991.167244786
JBD,풍력,88850.91367573896
JBD,LNG,718.0
JBD,수력,676368.0
JJD,태양광,799999.2514614023
JJD,풍력,1006977.0216583667
JJD,LNG,615609.9925728054
JND,태양광,11119989.59531367
JND,풍력,1421614.6188118285
JND,LNG,3091806.473695808
JND,원자력,51825600.0
JND,석탄,4057859.0491345897
JND,수력,333792.0
SEL,태양광,539999.4947364624
SEL,LNG,8144.664838734953
SJN,태양광,399999.62573072565
USN,태양광,1119998.9520459725
USN,LNG,1373515.1275891564
USN,원자력,24595200.0
BSN,수소,376027.39727712004
BSN,열,0.0
CBD,수소,210575.34246816006
CBD,열,1758805.4794320008
CND,수소,300821.91778656
CND,열,2131824.658176001
DGU,수소,310849.3150344
DGU,열,2462728.7688480015
DJN,수소,180493.15072464
DJN,열,746038.3557312
GBD,수소,290794.52053872
GBD,열,1790893.154736
GGD,수소,952602.7398624002
GGD,열,5424821.920656
GND,수소,360986.30136144004
GND,열,1502104.1077440006
GWD,수소,190520.54797248
GWD,열,1086969.8626848
GWJ,수소,205561.64380032007
GWJ,열,1588339.7259552
ICN,수소,396082.1917728002
ICN,열,2675309.5886399997
JBD,수소,235643.83563168003
JBD,열,0.0
JJD,수소,65178.082190015986
JJD,열,0.0
JND,수소,240657.53421168
JND,열,126345.20509440007
SEL,수소,551506.84933392
SEL,열,0.0
SJN,수소,55150.68493339198
SJN,열,0.0
USN,수소,290794.52053872
USN,열,0.0
