발전기명,총발전량(MWh)
GBD_Nuclear,99864000.0
CND_Coal,83948513.25300917
GND_Coal,64831945.80758816
JND_Nuclear,51684000.0
ICN_Coal,43758658.28039489
BSN_Nuclear,39858000.0
GWD_Coal,33952009.125615865
GGD_H_Fallback_Gen,31690000.00003679
ICN_LNG,27532068.619008027
USN_Nuclear,24528000.0
SEL_H_Fallback_Gen,18350000.000021998
ICN_H_Fallback_Gen,13180000.000038002
BSN_H_Fallback_Gen,12509999.999992797
GND_H_Fallback_Gen,12009999.999999596
JND_PV,11100090.944016567
DGU_H_Fallback_Gen,10339999.999968
CND_H_Fallback_Gen,10010000.000026805
GBD_H_Fallback_Gen,9670000.000010403
USN_H_Fallback_Gen,9670000.000010403
JBD_PV,9421772.971758643
